specialite,molecules,grammages,forme,labo,dci_signature,source_country,source_name,detail_url,atc_code,auth_number,source_ref,composition_raw,dosage_raw,presentation,distributeur,classe_therapeutique,statut,ppv_value,ppv_currency,prix_hospitalier,tableau,notice_url,nature_produit,ajoute_le,maj_le,scraped_at,last_seen,presentation_pretty,dosage_pretty,composition_pretty
CARDIOFLEX 100 MG,acide acetilsalicylique,100 mg,Comprimé pelliculé,RIM PHARMA,acide acetilsalicylique,MA,medicament.ma,https://medicament.ma/medicament/cardioflex-100-mg-comprime-pellicule/,N02BA01,,,Acide acetilsalicylique,100 MG,Boite de 30,RIM PHARMA,Antiagrégant plaquettaire,Commercialisé,23.6,dhs,14.70 dhs,Aucun,,,Ajouté le: 21 janvier 2020 à 16:10,Mise à jour le: 6 novembre 2023 à 10:40,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 30,100 MG,Acide Acetilsalicylique
CARDURA 2 MG,doxazosine,2 mg,Comprimé,VIATRIS PHARMACEUTICALS,doxazosine,MA,medicament.ma,https://medicament.ma/medicament/cardura-2mg-comprime/,C02CA04,,,Doxazosine,2 MG,Boîte de 20,VIATRIS PHARMACEUTICALS,"Antihypertenseur, alphabloquant",Commercialisé,58.5,dhs,36.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 15 octobre 2025 à 17:20,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,2 MG,Doxazosine
CARDIVEL 150 MG,irbesartan,150 mg,Comprimé pelliculé,SPIMACO,irbesartan,MA,medicament.ma,https://medicament.ma/medicament/cardivel-150-mg-comprime-pellicule/,C09CA04,,,Irbesartan,150 MG,Boite de 30,SPIMACO,"Antihypertenseur, antagoniste des récepteurs de l'angiotensine II",Commercialisé,116.4,dhs,72.80 dhs,A,,,Ajouté le: 3 octobre 2019 à 15:12,Mise à jour le: 24 mai 2023 à 10:06,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 30,150 MG,Irbesartan
CARDIX 25 MG,carvédilol,25 mg,Comprimé,PHI,carvédilol,MA,medicament.ma,https://medicament.ma/medicament/cardix-25-mg-comprime-2/,C07AG02,,,Carvédilol,25 MG,Boîte de 28,PHI,Bêtabloquant,Commercialisé,84.2,dhs,52.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 7 novembre 2022 à 16:30,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 28,25 MG,Carvédilol
CARDIX 6.25 MG,carvédilol,6.25 mg,Comprimé,PHI,carvédilol,MA,medicament.ma,https://medicament.ma/medicament/cardix-625-mg-comprime-2/,C07AG02,,,Carvédilol,6.25 MG,Boîte de 28,PHI,Bêtabloquant,Commercialisé,41.9,dhs,26.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 7 novembre 2022 à 16:31,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 28,6.25 MG,Carvédilol
CARDIVEL 300 MG,irbesartan,300 mg,Comprimé pelliculé,SPIMACO,irbesartan,MA,medicament.ma,https://medicament.ma/medicament/cardivel-300-mg-comprime-pellicule/,C09CA04,,,Irbesartan,300 MG,Boite de 30,SPIMACO,"Antihypertenseur, antagoniste des récepteurs de l'angiotensine II",Commercialisé,164.0,dhs,102.50 dhs,A,,,Ajouté le: 3 octobre 2019 à 15:13,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 30,300 MG,Irbesartan
CARIBAN 10 MG / 10 MG,doxylamine | pyridoxine,10 mg | 10 mg,Gélule à libération modifiée,VERSALYA SA,doxylamine + pyridoxine,MA,medicament.ma,https://medicament.ma/medicament/cariban-10-mg-10-mg-gelule-a-liberation-modifiee/,R06AA59,,,Doxylamine | pyridoxine,10 MG / 10 MG,Boite de 24,VERSALYA SA,Antihistaminiques à usage systémique,Commercialisé,233.0,dhs,149.90 dhs,A,,,Ajouté le: 20 avril 2022 à 14:32,Mise à jour le: 12 février 2024 à 08:41,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 24,10 MG | 10 MG,Doxylamine | Pyridoxine
CARIBAN 10 MG,doxylamine | pyridoxine,10 mg,Gélule à libération prolongée,VERSALYA SA,doxylamine + pyridoxine,MA,medicament.ma,https://medicament.ma/medicament/cariban-10-mg-gelule-a-liberation-controlee/,,,,Doxylamine | Pyridoxine,10 MG,Boite de 24,VERSALYA SA,Association s'un antihistaminique H1 et la vitamine B6,Commercialisé,249.0,dhs,155.70 dhs,,,,Ajouté le: 11 octobre 2021 à 11:19,Mise à jour le: 18 octobre 2023 à 11:01,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 24,10 MG,Doxylamine | Pyridoxine
CARIVALAN 12.5 MG / 5 MG,carvedilol | ivabradine,12.5 mg | 5 mg,Comprimé pelliculé,SERVIER MAROC,carvedilol + ivabradine,MA,medicament.ma,https://medicament.ma/medicament/carivalan-12-5-mg-5-mg-comprime-pellicule/,C07FX06,,,Carvedilol | Ivabradine,12.5 MG | 5 MG,Boite de 28,SERVIER MAROC,"Béta bloquant, autre combinaison",Commercialisé,262.0,dhs,164.20 dhs,A,,,Ajouté le: 23 février 2021 à 18:06,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 28,12.5 MG | 5 MG,Carvedilol | Ivabradine
CARMINEX,huile essentielles,,Sirop,NON RENSEIGNÉ,huile essentielles,MA,medicament.ma,https://medicament.ma/medicament/carminex-sirop/,,,,Huile essentielles,,Flacon de 120 ml,NON RENSEIGNÉ,,Commercialisé,,,,Aucun,,Complément alimentaire,Ajouté le: 30 janvier 2021 à 11:49,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 120 ml,,Huile Essentielles
CARIVALAN 6.25 MG / 5 MG,carvedilol | ivabradine,6.25 mg | 5 mg,Comprimé pelliculé,SERVIER MAROC,carvedilol + ivabradine,MA,medicament.ma,https://medicament.ma/medicament/carivalan-6-25-mg-5-mg-comprime-pellicule/,C07FX06,,,Carvedilol | Ivabradine,6.25 MG | 5 MG,Boite de 28,SERVIER MAROC,"Béta bloquant, autre combinaison",Commercialisé,241.0,dhs,150.70 dhs,A,,,Ajouté le: 23 février 2021 à 17:57,Mise à jour le: 2 août 2021 à 14:36,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 28,6.25 MG | 5 MG,Carvedilol | Ivabradine
CAROSYL,caronositol,,Gélule végétale,BOTTU S.A.,caronositol,MA,medicament.ma,https://medicament.ma/medicament/carosyl-gelule-vegetale/,,,,Caronositol,,Boite de 30,BOTTU S.A.,,Commercialisé,,,,Aucun,,Complément alimentaire,Ajouté le: 6 janvier 2021 à 16:17,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 30,,Caronositol
CARTREX 100 MG,acéclofénac,100 mg,Comprimé pelliculé,COOPER PHARMA,acéclofénac,MA,medicament.ma,https://medicament.ma/medicament/cartrex-comprime/,M01AB16,,,Acéclofénac,100 MG,Boite de 20,COOPER PHARMA,Anti-inflammatoire non stéroïdien,Commercialisé,38.8,dhs,24.30 dhs,C,,Médicament,Ajouté le: 16 mars 2016 à 08:10,Mise à jour le: 12 février 2024 à 08:46,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 20,100 MG,Acéclofénac
CARVEDILOL GT 25 MG,carvédilol,25 mg,Comprimé sécable,ATLAS PHARM,carvédilol,MA,medicament.ma,https://medicament.ma/medicament/carvedilol-gt-25-mg-comprime-secable-2/,C07AG02,,,Carvédilol,25 MG,Boîte de 30,ATLAS PHARM,Bêtabloquant,Commercialisé,95.0,dhs,59.40 dhs,A,,,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 30,25 MG,Carvédilol
CARTEOL 2 %,cartéolol chlorhydrate,2 %,Collyre,ZENITH PHARMA,cartéolol chlorhydrate,MA,medicament.ma,https://medicament.ma/medicament/carteol-2-collyre/,S01ED05,,,Cartéolol Chlorhydrate,2 %,Flacon de 3 ml,ZENITH PHARMA,Bêtabloquant,Commercialisé,51.9,dhs,32.40 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 12 février 2024 à 08:42,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 3 ml,2 %,Cartéolol Chlorhydrate
CARVEDILOL GT 6.25 MG,carvédilol,6.25 mg,Comprimé sécable,ATLAS PHARM,carvédilol,MA,medicament.ma,https://medicament.ma/medicament/carvedilol-gt-625-mg-comprime-secable-2/,C07AG02,,,Carvédilol,6.25 MG,Boîte de 30,ATLAS PHARM,Bêtabloquant,Commercialisé,46.0,dhs,28.70 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 30,6.25 MG,Carvédilol
CATACOL 0.1 %,inosine,0.1 %,Collyre,SOTHEMA,inosine,MA,medicament.ma,https://medicament.ma/medicament/catacol-0001-collyre/,S01XA10,,,Inosine,0.1 %,Flacon de 10 ml,SOTHEMA,Médicaments ophtalmologiques,Commercialisé,15.8,dhs,9.90 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 12 février 2024 à 08:47,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 10 ml,0.1 %,Inosine
CASODEX 50 MG,bicalutamide,50 mg,Comprimé enrobé,MAPHAR,bicalutamide,MA,medicament.ma,https://medicament.ma/medicament/casodex-50-mg-comprime-enrobe/,L02BB03,,,Bicalutamide,50 MG,Boîte de 30,MAPHAR,"Antinéoplasique, antiandrogène",Commercialisé,610.0,dhs,405.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 30,50 MG,Bicalutamide
CATAFLAM 50 MG,diclofenac,50 mg,Dragée,NOVARTIS PHARMA MAROC,diclofenac,MA,medicament.ma,https://medicament.ma/medicament/cataflam-50-mg-dragee-2/,M01AB05,,,Diclofenac,50 MG,Boîte de 10,NOVARTIS PHARMA MAROC,"Anti-inflammatoire non stéroïdien (AINS), dérivé de l'acide acétique",Commercialisé,22.4,dhs,14.00 dhs,C,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 20 octobre 2025 à 19:38,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 10,50 MG,Diclofenac
CATAFLAM 50 MG,diclofenac,50 mg,Dragée,NOVARTIS PHARMA MAROC,diclofenac,MA,medicament.ma,https://medicament.ma/medicament/cataflam-50-mg-dragee/,M01AB05,,,Diclofenac,50 MG,Boîte de 20,NOVARTIS PHARMA MAROC,"Anti-inflammatoire non stéroïdien (AINS), dérivé de l'acide acétique",Commercialisé,42.6,dhs,26.60 dhs,C,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 20 octobre 2025 à 19:39,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,50 MG,Diclofenac
CATAFLAM 25 MG,diclofenac,25 mg,Dragée,NOVARTIS PHARMA MAROC,diclofenac,MA,medicament.ma,https://medicament.ma/medicament/cataflam-25-mg-dragee/,M01AB05,,,Diclofenac,25 MG,Boîte de 20,NOVARTIS PHARMA MAROC,"Anti-inflammatoire non stéroïdien (AINS), dérivé de l'acide acétique",Commercialisé,23.0,dhs,14.40 dhs,C,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 20 octobre 2025 à 19:38,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,25 MG,Diclofenac
CATAPRESSAN 0.15 MG,clonidine,0.15 mg,Comprimé,BOTTU S.A.,clonidine,MA,medicament.ma,https://medicament.ma/medicament/catapressan-015-mg-comprime/,C02AC01,,,Clonidine,0.15 MG,Boîte de 20,BOTTU S.A.,Antihypertenseurs d'action centrale,Commercialisé,25.4,dhs,15.90 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,0.15 MG,Clonidine
CATEX 250 MG,ciprofloxacine,250 mg,Comprimé,AFRIC-PHAR,ciprofloxacine,MA,medicament.ma,https://medicament.ma/medicament/catex-250-mg-comprime-2/,J01MA02,,,Ciprofloxacine,250 MG,Boîte de 20,AFRIC-PHAR,"Antibiotique, quinolone (inhibiteur de l'ADN-gyrase)",Commercialisé,90.5,dhs,56.50 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,250 MG,Ciprofloxacine
CATEX 500 MG,ciprofloxacine,500 mg,Comprimé,AFRIC-PHAR,ciprofloxacine,MA,medicament.ma,https://medicament.ma/medicament/catex-500-mgcomprime-2/,J01MA02,,,Ciprofloxacine,500 MG,Boîte de 20,AFRIC-PHAR,"Antibiotique, quinolone (inhibiteur de l'ADN-gyrase)",Commercialisé,131.6,dhs,82.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 15:04,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 20,500 MG,Ciprofloxacine
CATEX 500 MG,ciprofloxacine,500 mg,Comprimé,AFRIC-PHAR,ciprofloxacine,MA,medicament.ma,https://medicament.ma/medicament/catex-500-mgcomprime/,J01MA02,,,Ciprofloxacine,500 MG,Boîte de 10,AFRIC-PHAR,"Antibiotique, quinolone (inhibiteur de l'ADN-gyrase)",Commercialisé,74.8,dhs,46.70 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 10,500 MG,Ciprofloxacine
CATIONORM,,,Emulsion ophtalmique,NON RENSEIGNÉ,,MA,medicament.ma,https://medicament.ma/medicament/cationorm-emulsion-ophtalmique/,,,,,,Flacon de 10 ml,NON RENSEIGNÉ,,Commercialisé,,,,Aucun,,Dispositif médical,Ajouté le: 18 février 2020 à 20:38,Mise à jour le: 6 novembre 2023 à 10:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 10 ml,,
CATEX 250 MG,ciprofloxacine,250 mg,Comprimé,AFRIC-PHAR,ciprofloxacine,MA,medicament.ma,https://medicament.ma/medicament/catex-250-mg-comprime/,J01MA02,,,Ciprofloxacine,250 MG,Boîte de 10,AFRIC-PHAR,"Antibiotique, quinolone (inhibiteur de l'ADN-gyrase)",Commercialisé,51.4,dhs,32.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 10,250 MG,Ciprofloxacine
CEBESINE 0.4 %,oxybuprocaïne,0.4 %,Collyre,ZENITH PHARMA,oxybuprocaïne,MA,medicament.ma,https://medicament.ma/medicament/cebesine-04-collyre/,S01HA02,,,Oxybuprocaïne,0.4 %,Flacon de 10 ml,ZENITH PHARMA,"Anesthésique local / Ophtalmologie ,",Commercialisé,21.5,dhs,13.40 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 12 février 2024 à 09:14,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 10 ml,0.4 %,Oxybuprocaïne
CEFALINE HAUTH 500 MG / 50 MG,paracétamol | caféine,500 mg | 50 mg,Sachet,NOVOPHARMA,caféine + paracétamol,MA,medicament.ma,https://medicament.ma/medicament/cefaline-hauth-500mg50mg-sachet/,N02BE01,,,Paracétamol | Caféine,500 MG | 50 MG,Boîte de 10,NOVOPHARMA,Analgésique - Antipyrétique,Commercialisé,13.3,dhs,8.30 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 12 février 2024 à 09:16,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boîte de 10,500 MG | 50 MG,Paracétamol | Caféine
CEDOL,paracetamol | codeine,400 mg | 20 mg,Comprimé [P],SYNTHEMEDIC,codeine + paracetamol,MA,medicament.ma,https://medicament.ma/medicament/cedol-comprimes/,N02BE51,,,Paracetamol | codeine,400 MG | 20 MG,Boite de 20,SYNTHEMEDIC,Analgésique antipyrétique,Commercialisé,20.6,dhs,12.80 dhs,A,,Médicament,Ajouté le: 22 mars 2013 à 19:17,Mise à jour le: 12 février 2024 à 09:15,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 20,400 MG | 20 MG,Paracetamol | Codeine
CEFICO 100 MG / 5 ML,cefixime,100 mg | 5 ml,Poudre pour suspension buvable,COOPER PHARMA,cefixime,MA,medicament.ma,https://medicament.ma/medicament/cefico-100-mg-5-ml-poudre-pour-suspension-buvable-3/,J01DA23,,,Cefixime,100 MG / 5 ML,Flacon de 30 ml,COOPER PHARMA,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,50.2,dhs,31.30 dhs,A,,,Ajouté le: 7 octobre 2020 à 16:29,Mise à jour le: 12 février 2024 à 09:18,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 30 ml,100 MG | 5 ML,Cefixime
CEFICO 100 MG / 5 ML,cefixime,100 mg | 5 ml,Poudre pour suspension buvable,COOPER PHARMA,cefixime,MA,medicament.ma,https://medicament.ma/medicament/cefico-100-mg-5-ml-poudre-pour-suspension-buvable-4/,J01DA23,,,Cefixime,100 MG / 5 ML,Flacon de 60 ml,COOPER PHARMA,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,87.3,dhs,54.50 dhs,A,,,Ajouté le: 7 octobre 2020 à 16:30,Mise à jour le: 12 février 2024 à 09:19,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Flacon de 60 ml,100 MG | 5 ML,Cefixime
CEFICO 200 MG,céfixime,200 mg,Comprimé pelliculé,COOPER PHARMA,céfixime,MA,medicament.ma,https://medicament.ma/medicament/cefico-200-mg-comprime-pellicule-3/,J01DA23,,,Céfixime,200 MG,Boite de 8,COOPER PHARMA,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,88.9,dhs,55.60 dhs,A,,,Ajouté le: 7 octobre 2020 à 16:24,Mise à jour le: 20 février 2025 à 15:17,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 8,200 MG,Céfixime
CEFICO 200 MG,cefixime,200 mg,Comprimé pelliculé,COOPER PHARMA,cefixime,MA,medicament.ma,https://medicament.ma/medicament/cefico-200-mg-comprime-pellicule-4/,J01DA23,,,Cefixime,200 MG,Boite de 16,COOPER PHARMA,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,156.5,dhs,97.80 dhs,A,,,Ajouté le: 7 octobre 2020 à 16:27,Mise à jour le: 20 février 2025 à 15:18,2025-11-08T02:39:51Z,2025-11-08T02:39:51Z,Boite de 16,200 MG,Cefixime
CEFOTAXIME ISIO 1000 MG,céfotaxime,1000 mg,Poudre pour solution injectable (IM-IV),ISIO LABORATOIRE,céfotaxime,MA,medicament.ma,https://medicament.ma/medicament/cefotaxime-isio-1000-mg-poudre-pour-solution-injectable-im-iv/,J01DA10,,,Céfotaxime,1000 MG,1 flacon,ISIO LABORATOIRE,Antibiotique : Céphalosporine de 3ème génération,Commercialisé,64.5,dhs,40.30 dhs,A,,,Ajouté le: 21 janvier 2020 à 16:39,Mise à jour le: 6 novembre 2023 à 10:39,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,1 flacon,1000 MG,Céfotaxime
CEFTRIAXONE MYLAN 2 G,ceftriaxone,2 g,Poudre Solution injectable (IV),SYNTHEMEDIC,ceftriaxone,MA,medicament.ma,https://medicament.ma/medicament/ceftriaxone-merck-2-g-poudre-solution-injectable-iv/,J01DA13,,,Ceftriaxone,2 G,5 flacons,SYNTHEMEDIC,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,912.0,dhs,630.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 27 juin 2023 à 18:33,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,5 flacons,2 G,Ceftriaxone
CEFOTAXIME ISIO 500 MG,céfotaxime,500 mg,Poudre pour solution injectable (IM-IV),ISIO LABORATOIRE,céfotaxime,MA,medicament.ma,https://medicament.ma/medicament/cefotaxime-isio-500-mg-poudre-pour-solution-injectable-im-iv/,J01DA10,,,Céfotaxime,500 MG,1 flacon,ISIO LABORATOIRE,Antibiotique : Céphalosporine de 3ème génération,Commercialisé,25.0,dhs,15.60 dhs,A,,,Ajouté le: 21 janvier 2020 à 16:43,Mise à jour le: 27 juin 2023 à 18:33,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,1 flacon,500 MG,Céfotaxime
CEFTRIAXONE MYLAN 500 MG,ceftriaxone,,Poudre Solution injectable IV,SYNTHEMEDIC,ceftriaxone,MA,medicament.ma,https://medicament.ma/medicament/ceftriaxone-merck-500-mg-poudre-solution-injectable/,J01DA13,,,Ceftriaxone,,1 flacon,SYNTHEMEDIC,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,57.0,dhs,35.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 27 juin 2023 à 18:33,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,1 flacon,,Ceftriaxone
CEFTRIAXONE MYLAN 250 MG,ceftriaxone,250 mg,Poudre Solution injectable,SYNTHEMEDIC,ceftriaxone,MA,medicament.ma,https://medicament.ma/medicament/ceftriaxone-merck-250-mg-poudre-solution-injectable-2/,J01DA13,,,Ceftriaxone,250 MG,10 flacons,SYNTHEMEDIC,"Antibiotique, céphalosporine de 3ème génération",Commercialisé,362.0,dhs,240.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 27 juin 2023 à 18:33,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,10 flacons,250 MG,Ceftriaxone
CEFUTIL 250 MG,céfuroxime,250 mg,Comprimé,SOTHEMA,céfuroxime,MA,medicament.ma,https://medicament.ma/medicament/cefutil-250mg-comprime/,J01DC02,,,Céfuroxime,250 MG,Boite de 10,SOTHEMA,Céphalosporine de 2ème génération,Commercialisé,88.2,dhs,55.10 dhs,A,,Médicament,Ajouté le: 2 avril 2014 à 17:56,Mise à jour le: 12 février 2024 à 09:48,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 10,250 MG,Céfuroxime
CEFUTIL 500 MG,céfuroxime,500 mg,Comprimé,SOTHEMA,céfuroxime,MA,medicament.ma,https://medicament.ma/medicament/cefutil-500mg-comprime-2/,J01DC02,,,Céfuroxime,500 MG,Boite de 10,SOTHEMA,Céphalosporine de 2ème génération,Commercialisé,131.9,dhs,82.50 dhs,A,,Médicament,Ajouté le: 2 avril 2014 à 17:58,Mise à jour le: 15 février 2024 à 14:04,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 10,500 MG,Céfuroxime
CELEBREX 200 MG,célécoxib,200 mg,Gélule,VIATRIS PHARMACEUTICALS,célécoxib,MA,medicament.ma,https://medicament.ma/medicament/celebrex-200-mg-gelule-2/,M01AH01,,,Célécoxib,200 MG,Boîte de 20,VIATRIS PHARMACEUTICALS,Anti-inflammatoire non stéroïdien (anti-cox2),Commercialisé,140.2,dhs,87.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 15 février 2024 à 14:06,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boîte de 20,200 MG,Célécoxib
CELEBREX 100 MG,célécoxib,100 mg,Gélule,VIATRIS PHARMACEUTICALS,célécoxib,MA,medicament.ma,https://medicament.ma/medicament/celebrex-100-mg-gelule-2/,M01AH01,,,Célécoxib,100 MG,Boîte de 20,VIATRIS PHARMACEUTICALS,Anti-inflammatoire non stéroïdien (anti-cox2),Commercialisé,109.6,dhs,68.50 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 15 février 2024 à 14:06,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boîte de 20,100 MG,Célécoxib
CELEBREX 200 MG,célécoxib,200 mg,Gélule,VIATRIS PHARMACEUTICALS,célécoxib,MA,medicament.ma,https://medicament.ma/medicament/celebrex-200-mg-gelule/,M01AH01,,,Célécoxib,200 MG,Boîte de 10,VIATRIS PHARMACEUTICALS,Anti-inflammatoire non stéroïdien (anti-cox2),Commercialisé,83.2,dhs,52.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 15 février 2024 à 14:05,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boîte de 10,200 MG,Célécoxib
CELENO 6.25 MG,carvédilol,6.25 mg,Comprimé,PHARMIS,carvédilol,MA,medicament.ma,https://medicament.ma/medicament/celeno-6-25-mg-comprime/,C07AG02,,,Carvédilol,6.25 MG,Boite de 30,PHARMIS,"Antihypertenseur, alpha- et bêtabloquant",Commercialisé,43.8,dhs,27.40 dhs,A,,Médicament,Ajouté le: 26 novembre 2016 à 11:26,Mise à jour le: 3 octobre 2022 à 16:41,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 30,6.25 MG,Carvédilol
CELENO 25 MG,carvedilol,25 mg,Comprimé,PHARMIS,carvedilol,MA,medicament.ma,https://medicament.ma/medicament/celeno-25-mg-comprime/,C07AG02,,,Carvedilol,25 MG,Boite de 30,PHARMIS,"Antihypertenseur, alpha- et bêtabloquant",Commercialisé,88.1,dhs,55.10 dhs,A,,Médicament,Ajouté le: 26 novembre 2016 à 11:22,Mise à jour le: 3 octobre 2022 à 16:40,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 30,25 MG,Carvedilol
CELESTENE 2 MG,bethamethasone,2 mg,Comprimé dispersible sécable,PHI,bethamethasone,MA,medicament.ma,https://medicament.ma/medicament/celestene-2-mg-comprime/,H02AB01,,,Bethamethasone,2 MG,Boîte de 20,PHI,Anti-inflammatoire stéroidien,Commercialisé,36.6,dhs,22.90 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:25,Mise à jour le: 21 octobre 2025 à 10:09,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boîte de 20,2 MG,Bethamethasone
CELEPHI 200 MG,célécoxib,200 mg,Gélule,PHI,célécoxib,MA,medicament.ma,https://medicament.ma/medicament/celephi-200-mg-gelule-2/,M01AH01,,,Célécoxib,200 MG,Boite de 20,PHI,Anti-inflammatoire non stéroïdien (anti-cox2),Commercialisé,130.8,dhs,81.80 dhs,A,,,Ajouté le: 10 février 2021 à 16:41,Mise à jour le: 15 février 2024 à 14:09,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 20,200 MG,Célécoxib
CELEPHI 200 MG,célécoxib,200 mg,Gélule,PHI,célécoxib,MA,medicament.ma,https://medicament.ma/medicament/celephi-200-mg-gelule/,M01AH01,,,Célécoxib,200 MG,Boite de 10,PHI,Anti-inflammatoire non stéroïdien (anti-cox2),Commercialisé,70.1,dhs,43.80 dhs,A,,,Ajouté le: 10 février 2021 à 16:40,Mise à jour le: 15 février 2024 à 14:08,2025-11-08T02:39:52Z,2025-11-08T02:39:52Z,Boite de 10,200 MG,Célécoxib
